category_slug|human_readable_name
amenity/parking/park_ride|Park & Ride
amenity/language_school|Language School
shop/e-cigarette|E-Cigarette Shop
building/carport|Carport
leisure/pitch/archery|Archery Pitch
craft/joiner|Joiner
amenity/fast_food/cafeteria|Cafeteria Fast Food
highway/elevator|Elevator
barrier/entrance|Entrance Barrier
amenity/food_court|Food Court
shop/variety_store|Variety Store
shop/psychic|Psychic Shop
shop/musical_instrument|Musical Instrument Store
amenity/parking/street-side|Street-side Parking
amenity/university|University
highway/speed_camera|Speed Camera
landuse/aquaculture|Aquaculture
golf/bunker|Golf Bunker
amenity/lounger|Lounger
natural/tree_row|Tree Row
craft/watchmaker|Watchmaker
craft/clockmaker|Clockmaker
amenity/restaurant/asian|Asian Restaurant
amenity/fast_food/burger|Burger Fast Food
leisure/ice_rink|Ice Rink
shop/jewelry|Jewelry Shop
man_made/adit|Adit
leisure/fitness_station/balance_beam|Balance Beam Fitness Station
type/route|Route
shop/car/second_hand|Second-Hand Car Shop
power/switch|Switch
leisure/fitness_station/rings|Rings Fitness Station
craft/electronics_repair|Electronics Repair Shop
shop/motorcycle_repair|Motorcycle Repair Shop
shop/hairdresser_supply|Hairdresser Supply Shop
man_made/tower/defensive|Defensive Tower
attraction/river_rafting|River Rafting Attraction
man_made/mast|Mast
healthcare/optometrist|Optometrist
natural/tree|Tree
healthcare/midwife|Midwife
railway/railway_crossing|Railway Crossing
railway/narrow_gauge|Narrow Gauge Railway
shop/photo|Photo Shop
tourism/information/map|Map Information
man_made/beacon|Beacon
type/restriction/no_u_turn|No U-Turn Restriction
natural/fell|Fell
amenity/social_facility|Social Facility
amenity/mortuary|Mortuary
craft/key_cutter|Key Cutter
attraction/maze|Maze Attraction
building/service|Service Building
building/semidetached_house|Semidetached House
leisure/pitch/beachvolleyball|Beach Volleyball Pitch
emergency/ambulance_station|Ambulance Station
tourism/zoo/wildlife|Wildlife Zoo
tourism/camp_site|Camp Site
amenity/casino|Casino
man_made/planter|Planter
landuse/greenfield|Greenfield
leisure/pitch/shuffleboard|Shuffleboard Pitch
shop/interior_decoration|Interior Decoration Shop
military/office|Military Office
amenity/events_venue|Events Venue
office/religion|Religious Office
aeroway/holding_position|Holding Position
emergency/lifeguard|Lifeguard
leisure/fishing|Fishing
waterway/tidal_channel|Tidal Channel
shop/farm|Farm Shop
amenity/smoking_area|Smoking Area
shop/water|Water Shop
emergency/water_tank|Water Tank
amenity/bicycle_parking|Bicycle Parking
tourism/information/office|Tourist Information Office
barrier/bump_gate|Bump Gate
traffic_calming/mini_bumps|Mini Bumps
craft/signmaker|Signmaker
shop/hifi|Hi-Fi Shop
advertising/billboard|Billboard
highway/emergency_bay|Emergency Bay
landuse/religious|Religious Landuse
craft/hvac|HVAC Craft
attraction/log_flume|Log Flume Attraction
public_transport/platform|Public Transport Platform
traffic_calming/hump|Traffic Calming Hump
office/surveyor|Surveyor Office
office/telecommunication|Telecommunication Office
highway/raceway/karting|Karting Raceway
cycleway/asl|ASL Cycleway
amenity/vending_machine/food|Food Vending Machine
man_made|Man-Made
type/route/piste|Piste Route
amenity/place_of_worship/shinto|Shinto Place of Worship
amenity/car_rental|Car Rental Amenity
aeroway/runway|Runway
pipeline/valve|Valve Pipeline
leisure/fitness_station/stairs|Stairs Fitness Station
highway/service/drive-through|Drive-Through Service Highway
playground/basketrotator|Basketrotator Playground
tourism/information/board/welcome_sign|Welcome Sign Information Board
amenity/restaurant/noodle|Noodle Restaurant
shop/window_blind|Window Blind Shop
leisure/dancing_school|Dancing School
man_made/courtyard|Courtyard
healthcare/alternative/chiropractic|Chiropractic Healthcare
shop/stationery|Stationery Shop
landuse/garages|Garages
waterway|Waterway
playground/splash_pad|Splash Pad Playground
man_made/silo|Silo
barrier/cattle_grid|Cattle Grid
shop/hardware|Hardware Shop
natural/coastline|Coastline
public_transport/station_trolleybus|Trolleybus Station
landuse/recreation_ground|Recreation Ground
railway/tram|Tram Railway
shop/art|Art Shop
office/water_utility|Water Utility Office
playground/seesaw|Seesaw Playground
amenity/studio/radio|Radio Studio
playground/map|Map Playground
golf/clubhouse|Golf Clubhouse
amenity/bicycle_parking/shed|Bicycle Parking Shed
landuse/construction|Construction Landuse
man_made/crane|Crane
building/ruins|Ruins
shop/wholesale|Wholesale Shop
public_transport/stop_position_subway|Subway Stop Position
leisure/sauna|Sauna
shop/yes|Yes Shop
highway/secondary_link|Secondary Link Highway
highway/primary_link|Primary Link Highway
emergency/no|No Emergency
shop/pet_grooming|Pet Grooming Shop
shop/appliance|Appliance Shop
historic/wayside_cross|Wayside Cross
craft/agricultural_engines|Agricultural Engines Craft
amenity/bank|Bank
leisure/track/running|Running Track
amenity/restaurant/barbeque|Barbecue Restaurant
office/quango|Quango Office
piste/sled|Sled Piste
Golf/Hole|Golf Hole
Emergency/Life_Ring|Life Ring
Barrier/Hedge|Hedge
Barrier/Fence|Fence
Amenity/Loading_Dock|Loading Dock
Shop/Scuba_Diving|Scuba Diving Shop
Amenity/Social_Facility/Ambulatory_Care|Ambulatory Care Social Facility
Shop/Copyshop|Copy Shop
Shop/Bed|Bed Shop
Emergency/Designated|Designated Emergency
Tourism/Zoo|Zoo
Public_Transport/Stop_Position_Trolleybus|Trolleybus Stop Position
Emergency/Fire_Hose|Fire Hose
Office/Union|Union Office
Building/Civic|Civic Building
Office/Notary|Notary Office
Highway/Living_Street|Living Street
Public_Transport/Platform/Bus_Point|Bus Point Platform
Power|Power
Landuse/Farmyard|Farmyard
Advertising/Totem|Totem
Shop/Weapons|Weapons Shop
Tourism/Artwork/Mural|Mural Artwork
Natural/Wetland/Wet_Meadow|Wet Meadow Wetland
Tourism/Information|Tourism Information
Building/Residential|Residential Building
Place/City|City
Landuse/Military/Base|Military Base
Man_Made/Beehive|Beehive
Amenity/Dressing_Room|Dressing Room
Shop/Garden_Centre|Garden Centre Shop
Tourism/Picnic_Site|Picnic Site
Building/Stable|Stable Building
Amenity/Fast_Food|Fast Food
Leisure/Swimming_Area|Swimming Area
Highway/Trunk_Link|Trunk Link Highway
Office/Adoption_Agency|Adoption Agency Office
Man_Made/Mast/Communication|Communication Mast
Highway/Services|Services Highway
Seamark/Mooring|Mooring Seamark
Historic/Ruins|Ruins
Shop/Camera|Camera Shop
Building/Greenhouse|Greenhouse Building
Historic/Castle|Castle
Amenity/Compressed_Air|Compressed Air
Aerialway/Chair_Lift|Chair Lift Aerialway
Highway/Footway/Sidewalk|Sidewalk Footway
Man_Made/Tailings_Pond|Tailings Pond
Waterway/Drain|Drain Waterway
Railway/Miniature|Miniature Railway
Amenity/Waste_Disposal|Waste Disposal
Shop/Kiosk|Kiosk Shop
Healthcare/Speech_Therapist|Speech Therapist Healthcare
Type/Restriction/Only_Straight_On|Only Straight On Restriction
Amenity/Fast_Food/Mexican|Mexican Fast Food
Place/Plot|Plot Place
Amenity/Fast_Food/Donut|Fast Food Donut Shop
Amenity/Internet_Cafe|Internet Cafe
Building/Office|Office Building
Man_Made/Observatory|Observatory
Leisure/Sports_Centre/Horse_Racing|Horse Racing Sports Centre
Amenity/Toilets/Disposal/Pitlatrine|Pitlatrine Toilet
Natural/Saddle|Saddle
Building/Pavilion|Pavilion Building
Leisure/Swimming_Pool|Swimming Pool
Amenity/Community_Centre|Community Centre
Leisure/Pitch/Futsal|Futsal Pitch
Railway/Tram_Stop|Tram Stop Railway
Public_Transport/Platform_Point|Platform Point Public Transport
Office/Administrative|Administrative Office
Landuse/Quarry|Quarry
Office/Insurance|Insurance Office
Amenity/Music_School|Music School
Leisure/Pitch/Rugby_Union|Rugby Union Pitch
Leisure/Miniature_Golf|Miniature Golf
Tourism/Camp_Site/Group_Only|Group-Only Camp Site
Shop/Beauty/Nails|Nail Beauty Shop
Playground/Climbingwall|Climbing Wall
Man_Made/Obelisk|Obelisk
Addr/Interpolation|Interpolated Address
Waterway/Fish_Pass|Fish Pass
Healthcare/Laboratory|Healthcare Laboratory
Craft/Shoemaker|Shoemaker
Shop/Kitchen|Kitchen Shop
Man_Made/Embankment|Embankment
Amenity/Animal_Boarding|Animal Boarding
Railway/Construction|Railway Construction
Craft/Winery|Winery
Leisure/Pitch/Australian_Football|Australian Football Pitch
Man_Made/Tower/Diving|Diving Tower
Amenity/Vending_Machine/Bread|Bread Vending Machine
Office/Estate_Agent|Estate Agent Office
Amenity/Restaurant/Steakhouse|Steakhouse Restaurant
Amenity/Clinic|Clinic
Landuse|Land use
Shop/Car|Car Shop
Emergency/First_Aid_Kit|First Aid Kit Emergency
Shop/Fishing|Fishing Shop
Building/Bunker|Bunker Building
Barrier/Block|Barrier
Tourism/Attraction|Tourist Attraction
Highway/Footway/Informal|Informal Footway
Building/House|House
Barrier/Toll_Booth|Toll Booth
Leisure/Sports_Hall|Sports Hall
Leisure/Sports_Centre/Shooting|Sports Centre (Shooting)
Craft/Plumber|Plumbing
Leisure/Track|Track
Highway/Footway/Crossing/Unmarked|Unmarked Crossing
Man_made/Works|Man-made Works
Craft/Handicraft|Handicraft
Waterway/Waterfall|Waterfall
Office/Energy_Supplier|Energy Supplier
Area/Footway|Footway Area
Highway/Cycleway/Crossing|Cycleway Crossing
Amenity/Waste/Dog_Excrement|Dog Excrement
Amenity/Boat_Storage|Boat Storage
Shop/Games|Games Shop
Emergency/Official|Official Emergency
Shop/Dry_Cleaning|Dry Cleaning Shop
Leisure/Pitch/Softball|Softball Pitch
Building/Farm|Farm
Amenity/Shelter|Shelter
Amenity/Courthouse|Courthouse
Leisure/Slipway|Slipway
Internet_Access/Wlan|Wi-Fi Access Point
Playground/Tetherball|Tetherball Playground
Tourism/Guest_House|Guest House
Amenity/Ranger_Station|Ranger Station
Amenity/Childcare|Childcare Amenity
Amenity/Letter_Box|Letter Box
Disc_Golf/Tee|Disc Golf Tee
Amenity/Library|Library
Shop/Toys|Toy Shop
Barrier/Spikes|Spikes
Craft/Upholsterer|Upholsterer
Waterway/Stream_Intermittent|Intermittent Stream
Highway/Track|Track
Leisure/Fitness_Centre|Fitness Centre
Public_Transport/Platform/Train_Point|Train Platform
Amenity/Place_Of_Worship/Buddhist|Buddhist Place of Worship
Office/Forestry|Forestry Office
Shop/Laundry|Laundry Shop
Type/Restriction/No_Straight_On|No Straight On Restriction
Highway/Bus_Guideway|Bus Guideway
Office/Diplomatic/Consulate|Consulate
Barrier/Kerb/Rolled|Rolled Kerb
Pipeline|Pipeline
Amenity/Vending_Machine/Newspapers|Newspaper Vending Machine
Natural/Water/Stream|Stream
Building/Retail|Retail Building
Shop/Books|Book Shop
Natural/Wetland/Bog|Bog
Attraction/Carousel|Carousel
Amenity/Fast_Food/Sandwich|Sandwich Fast Food
Tourism/Aquarium|Aquarium
Landuse/Farm|Farmland
Emergency/Fire_Hydrant|Fire Hydrant
Railway/Rail/Highspeed|High Speed Rail
Amenity/Public_Bookcase|Public Bookcase
Shop/Hunting|Hunting Shop
Amenity/Clinic/Fertility|Fertility Clinic
Tourism/Artwork|Artwork
Public_Transport/Platform/Light_Rail|Light Rail Platform
Shop/Sports|Sports Shop
Natural/Beach|Beach
Shop/Furniture|Furniture Shop
Shop/Baby_Goods|Baby Goods Shop
Type/Route/Road|Road Route
Craft/Stonemason|Stonemason
Amenity/Marketplace|Marketplace
Man_made/Mineshaft|Mineshaft
Entrance/Main|Main Entrance
Barrier/Gate|Gate
Playground/Sandpit|Sandpit
Highway/Raceway/Motocross|Motocross Raceway
Craft/Locksmith|Locksmith
Landuse/Industrial|Industrial Land
Playground/Roundabout|Roundabout
Barrier/Motorcycle_Barrier|Motorcycle Barrier
Highway/Service/Parking_Aisle|Parking Aisle
Office/Architect|Architect Office
Highway/Pedestrian_Line|Pedestrian Line
Leisure/Pitch/Four_Square|Four Square Pitch
Landuse/Salt_Pond|Salt Pond
Man_made/Watermill|Watermill
Shop/Tea|Tea Shop
Natural/Scrub|Scrubland
Building/Farm_Auxiliary|Farm Auxiliary Building
Natural/Grassland|Grassland
Craft/Saddler|Saddler
Building/Kindergarten|Kindergarten
Leisure/Track/Cycling|Cycling Track
Man_made/Video_Wall|Video Wall
Craft/Confectionery|Confectionery
Waterway/Weir|Weir
Tourism/Motel|Motel
Landuse/Industrial/Scrap_Yard|Scrap Yard
Shop/Bag|Bag Shop
Amenity/Ferry Terminal|Ferry Terminal
Leisure/Disc Golf Course|Disc Golf Course
Area|Area
Man Made/Surveillance|Surveillance
Shop/Pawnbroker|Pawnbroker
Office/NGO|Non-Governmental Organization (NGO)
Landuse/Commercial|Commercial Land
Amenity/Community Centre/Youth Centre|Youth Centre
Leisure/Fitness Station/HyperExtension|Fitness Station
Building/Cabin|Cabin
Natural/Water/Basin|Water Basin
Amenity/Gambling|Gambling
Barrier/Sally Port|Sally Port
Office/Research|Research Office
Landuse/Farmland|Farmland
Shop/Supermarket|Supermarket
Leisure/Stadium|Stadium
Historic/City Gate|City Gate
Shop/Repair|Repair Shop
Healthcare/Hospice|Hospice
Man Made/Groyne|Groyne
Building/Industrial|Industrial Building
Shop/Dairy|Dairy Shop
Building/Shed|Shed
Amenity/Biergarten|Biergarten
Power/Plant/Source/Hydro|Hydro Power Plant
Highway/Motorway Link|Motorway Link
Waterway/Lock Gate|Lock Gate
Shop/Hearing Aids|Hearing Aid Shop
Traffic Sign/City Limit|City Limit Sign
Shop/Car Parts|Car Parts Shop
Natural/Water/Lake|Lake
Type/Site|Site
Shop/Party|Party Shop
Man Made/Antenna|Antenna
Office/Moving Company|Moving Company
Man Made/Water Works|Water Works
Bridge/Support|Bridge Support
Leisure/Picnic Table|Picnic Table
Historic/Building|Historic Building
Public Transport/Platform/Train|Train Platform
Shop/Wine|Wine Shop
Leisure/Pitch/Skateboard|Skateboard Pitch
Man Made/Flagpole|Flagpole
Entrance/Emergency Ward Entrance|Emergency Ward Entrance
Waterway/Sanitary Dump Station|Sanitary Dump Station
Craft/Photographic Laboratory|Photographic Laboratory
Healthcare/Podiatrist|Podiatrist
Seamark/Beacon Isolated Danger|Beacon Isolated Danger
Man Made/Tunnel|Tunnel
Shop/Mobile Phone|Mobile Phone Shop
Aerialway/T-Bar|T-Bar
Office/Lawyer|Lawyer's Office
Healthcare/Occupational Therapist|Occupational Therapist
Natural/Cave Entrance|Cave Entrance
Landuse/Meadow|Meadow
Place/Neighbourhood|Neighbourhood
Power/Portal|Portal
Place/Square|Square
Leisure/Golf Course|Golf Course
Type/Connectivity|Connectivity
Power/Plant/Source/Nuclear|Nuclear Power Plant
Type/Enforcement|Enforcement
Shop/Telecommunication|Telecommunication Shop
Shop/Butcher|Butcher Shop
Leisure/Pitch/Basketball|Basketball Pitch
Highway/Speed Display|Speed Display
Shop/Seafood|Seafood Shop
Landuse/Plant Nursery|Plant Nursery
Natural/Valley|Valley
Natural/Hot Spring|Hot Spring
Office/Company|Company Office
Amenity/Sanitary Dump Station|Sanitary Dump Station
Shop/Charity|Charity Shop
Man Made/Yes|Yes
Shop/Carpet|Carpet Shop
Highway/Cycleway/Crossing/Traffic Signals|Cycleway Crossing Traffic Signals
Aeroway/Apron|Apron
Leisure/Common|Common
Landuse/Military/Danger Area|Danger Area
Emergency/Siren|Siren
Seamark/Buoy Lateral/Green|Green Buoy Lateral
Man Made/Pier|Pier
Man Made/Mast/Communication/Television|Television Mast
Office/Tax Advisor|Tax Advisor
Shop/Shoes|Shoe Shop
Traffic Calming/Island|Traffic Calming Island
Public Transport/Station Subway|Subway Station
Natural/Wetland/Fen|Fen Wetland
Leisure/Dance|Dance Leisure
Power/Line|Power Line
Golf/Fairway|Golf Fairway
Man Made/Windpump|Windpump
Amenity/Nightclub/LGBTQ|LGBTQ Nightclub
Tourism/Camp Site/Backcountry|Backcountry Camp Site
Playground/Structure|Playground Structure
Craft/Sculptor|Sculptor
Historic/Fort|Fort
Club/Sport|Sport Club
Building/Detached|Detached Building
leisure/bleachers|Bleachers
playground/climbingframe|Climbing Frame
disused/shop|Disused Shop
traffic_calming/yes|Traffic Calming 
amenity/shelter/lean_to|Lean To Shelter
amenity/kindergarten|Kindergarten
pipeline/substation|Substation
historic|Historic Site
office/diplomatic|Diplomatic Office
type/waterway|Waterway
natural/heath|Heath
aerialway/zip_line|Zip Line
public_transport/stop_position_bus|Bus Stop Position
man_made/goods_conveyor|Goods Conveyor
disc_golf/basket|Disc Golf Basket
indoor/door|Indoor Door
amenity/vending_machine/parking_tickets|Parking Ticket Vending Machine
amenity/weighbridge|Weighbridge
public_transport/platform/tram_point|Tram Platform
highway/crossing/uncontrolled|Uncontrolled Crossing
amenity/fountain|Fountain
man_made/pier/floating|Floating Pier
shop/locksmith|Locksmith
man_made/monitoring_station|Monitoring Station
man_made/street_cabinet|Street Cabinet
amenity/place_of_worship/hindu|Hindu Place of Worship
amenity/college|College
traffic_calming/table|Traffic Calming Table
amenity/photo_booth|Photo Booth
healthcare/dentist/orthodontics|Orthodontic Dentist
amenity/fast_food/fish_and_chips|Fish and Chips Fast Food
place/hamlet|Hamlet
marker/utility|Utility Marker
highway/footway/crossing/traffic_signals|Traffic Signals Crossing Footway
shop/candles|Candle Shop
healthcare/alternative|Alternative Healthcare
type/restriction/only_u_turn|U-Turn Only Restriction
man_made/gantry|Gantry
man_made/water_well|Water Well
shop/rental|Rental Shop
shop/water_sports|Water Sports Shop
seamark/buoy_lateral/red|Red Lateral Buoy
amenity/studio/video|Video Studio
shop/religion|Religious Shop
shop/electronics|Electronics Shop
type/route/monorail|Monorail Route
amenity/parking_space|Parking Space
leisure|Leisure Site
traffic_sign|Traffic Sign
aeroway/hangar|Hangar
shop/lottery|Lottery Shop
craft/pottery|Pottery Shop
office/consulting|Consulting Office
natural/bay|Bay
attraction/bumper_car|Bumper Car Attraction
amenity/post_office|Post Office
amenity/shelter/public_transport|Public Transport Shelter
place/village|Village
man_made/manhole/sewer|Sewer Manhole
building/static_caravan|Static Caravan
railway/abandoned|Abandoned Railway
leisure/pitch/american_football|American Football Pitch
amenity/payment_centre|Payment Centre
amenity/nightclub|Nightclub
power/generator/source/hydro|Hydro Generator
tourism/museum|Museum
amenity/fast_food/juice|Juice Fast Food
office/government/register_office|Register Office
type/route/power|Power Route
building/public|Public Building
shop/brewing_supplies|Brewing Supplies Shop
leisure/picnic_table/chess|Chess Picnic Table
barrier/stile|Stile Barrier
natural/strait|Strait
man_made/mast/lighting|Lighting Mast
place/island|Island
leisure/fitness_station|Fitness Station
golf/lateral_water_hazard|Lateral Water Hazard
disc_golf/hole|Disc Golf Hole
natural/scree|Scree
public_transport/station_train|Train Station
shop/clothes/workwear|Workwear Clothes Shop
man_made/tower/communication|Communication Tower
power/plant/source/gas|Gas Plant
amenity/love_hotel|Love Hotel
craft/tailor|Tailor
tourism/trail_riding_station|Trail Riding Station
highway/passing_place|Passing Place
building_part|Building Part
aerialway/gondola|Gondola
shop/tattoo|Tattoo Shop
amenity/theatre|Theatre
amenity/place_of_worship/christian/jehovahs_witness|Jehovah's Witness Place of Worship
landuse/harbour|Harbour
indoor/stairs|Indoor Stairs
natural/cape|Cape
shop/perfumery|Perfumery Shop
barrier/ditch|Ditch Barrier
club|Club
public_transport/platform/tram|Tram Platform
man_made/reservoir_covered|Reservoir
shop/shoe_repair|Shoe Repair Shop
highway/footway/crossing/zebra|Zebra Crossing
amenity/hunting_stand|Hunting Stand
healthcare/audiologist|Audiologist
building/barn|Barn
amenity/restaurant/mexican|Mexican Restaurant
building/terrace|Terrace
type/route/tram|Tram Route
shop/optician|Optician
leisure/track/horse_racing|Horse Racing Track
amenity/doctors/gynaecology|Gynaecologist
man_made/manhole/telecom|Telecom Manhole
highway/bridleway|Bridleway
healthcare/psychotherapist|Psychotherapist
emergency/defibrillator|Defibrillator
amenity/taxi|Taxi Stand
historic/castle/stately|Stately Castle
highway/footway|Footway
amenity/parking/multi-storey|Multi-Storey Parking
highway/primary|Primary Highway
amenity/crematorium|Crematorium
aeroway|Aeroway
amenity/binoculars|Binoculars
shop/mall|Mall
man_made/manhole|Manhole
aeroway/terminal|Airport Terminal
shop/electrical|Electrical Shop
natural/wetland/marsh|Marsh
leisure/fitness_station/push-up|Push-Up Fitness Station
shop/clothes/second_hand|Second Hand Clothes Shop
amenity/boat_rental|Boat Rental
area/highway|Highway Area
leisure/pitch/american_handball|American Handball Pitch
shop/leather|Leather Shop
golf/path|Golf Path
aerialway/goods|Goods Aerialway
man_made/torii|Torii
landuse/brownfield|Brownfield
playground/hopscotch|Hopscotch Playground
man_made/lighthouse|Lighthouse
natural/mud|Mud
shop/computer|Computer Shop
shop/lighting|Lighting Shop
landuse/reservoir|Reservoir Landuse
leisure/resort|Resort
emergency/mountain_rescue|Mountain Rescue Station
entrance/emergency|Emergency Entrance
shop/funeral_directors|Funeral Directors
barrier/turnstile|Turnstile
amenity/restaurant/french|French Restaurant
office/financial_advisor|Financial Advisor
amenity/polling_station|Polling Station
leisure/bowling_alley|Bowling Alley
building/stadium|Stadium
place/isolated_dwelling|Isolated Dwelling
office/government|Government Office
tourism/gallery|Gallery
shop/gas|Gas Station
piste/nordic|Nordic Piste
man_made/mast/communication/radio|Radio Communication Mast
tourism/artwork/bust|Bust Sculpture
shop/printer_ink|Printer Ink Shop
highway/crossing/zebra|Zebra Crossing
shop/doors|Doors Shop
highway/cycleway/crossing/bicycle_foot|Bicycle and Foot Crossing
amenity/charging_station|Charging Station
amenity/pub/irish|Irish Pub
leisure/horse_riding|Horse Riding
shop/car_repair|Car Repair Shop
public_transport/platform/trolleybus_point|Trolleybus Platform
amenity/restaurant|Restaurant
highway/trunk|Trunk Highway
shop/bicycle|Bicycle Shop
power/plant/source/oil|Oil Power Plant
amenity/shelter/gazebo|Gazebo Shelter
amenity/watering_place|Watering Place
point|Point
amenity/fast_food/ice_cream|Ice Cream Fast Food
craft/floorer|Floorer
highway/service_area|Service Area
building/hut|Hut
public_transport/platform/bus_tram_point|Bus and Tram Platform
healthcare/blood_donation|Blood Donation Centre
building/manufacture|Manufacture Building
barrier/wall/noise_barrier|Noise Barrier Wall
man_made/tower/observation|Observation Tower
police/checkpoint|Police Checkpoint
attraction/water_slide|Water Slide
building/construction|Construction Site
type/route/bicycle|Bicycle Route
craft/painter|Painter
place/locality|Locality
historic/wreck|Wreck
man_made/cross|Cross
cemetery/grave|Grave
landuse/military/training_area|Military Training Area
highway/cycleway/bicycle_foot|Bicycle and Foot Cycleway
tourism/information/guidepost|Guidepost
amenity/restaurant|Restaurant
highway/trunk|Trunk Highway
shop/bicycle|Bicycle Shop
power/plant/source/oil|Oil Power Plant
amenity/shelter/gazebo|Gazebo Shelter
amenity/watering_place|Watering Place
point|Point
amenity/fast_food/ice_cream|Ice Cream Fast Food
craft/floorer|Floorer
highway/service_area|Service Area
building/hut|Hut
public_transport/platform/bus_tram_point|Bus and Tram Platform
healthcare/blood_donation|Blood Donation Centre
building/manufacture|Manufacture Building
barrier/wall/noise_barrier|Noise Barrier Wall
man_made/tower/observation|Observation Tower
police/checkpoint|Police Checkpoint
attraction/water_slide|Water Slide
building/construction|Construction Site
type/route/bicycle|Bicycle Route
craft/painter|Painter
place/locality|Locality
historic/wreck|Wreckage Site
man_made/cross|Cross
cemetery/grave|Grave
landuse/military/training_area|Military Training Area
highway/cycleway/bicycle_foot|Bicycle and Foot Cycleway
tourism/information/guidepost|Guidepost
amenity/restaurant/sushi|Sushi
Highway/Construction|Construction Site
Building/School|School
Leisure/Garden|Garden
Place|Place
Natural/Shrub|Shrub
Amenity/Vending_Machine/Ice_Cream|Ice Cream Vending Machine
Man_Made/Bunker_Silo|Bunker Silo
Amenity/Toilets/Portable|Portable Toilet
Type/Route/Foot|Foot Route
Shop/Curtain|Curtain Shop
Landuse/Residential/Apartments|Apartment Complex
Amenity/Car_Sharing|Car Sharing
Shop/Cannabis|Cannabis Shop
Waterway/Canal/Lock|Canal Lock
Barrier/Wicket_Gate|Wicket Gate
Highway/Primary_Link-US-CA|US-CA Primary Link
Aeroway/Gate|Airport Gate
Barrier/Swing_Gate|Swing Gate
Railway/Level_Crossing|Level Crossing
Barrier/Guard_Rail|Guard Rail
Amenity/Restaurant/German|German Restaurant
Landuse/Landfill|Landfill
Natural/Shingle|Shingle
Shop/Outdoor|Outdoor Shop
Building/Dormitory|Dormitory
Amenity/Bar|Bar
Tourism/Information/Board|Tourist Information Board
Man_Made/Manhole/Water|Water Manhole
Amenity/Restaurant/Italian|Italian Restaurant
Shop/Swimming_Pool|Swimming Pool Shop
Tourism/Theme_Park|Theme Park
Shop/Department_Store|Department Store
Public_Transport/Stop_Position|Public Transport Stop
Amenity/Cafe|Cafe
Attraction/Amusement_Ride|Amusement Ride
Amenity/Bicycle_Repair_Station|Bicycle Repair Station
Shop/Agrarian|Agrarian Shop
Shop/Pottery|Pottery Shop
Building/Transportation|Transportation Building
Leisure/Pitch/Table_Soccer|Table Soccer Pitch
Railway/Switch|Railway Switch
Highway/Milestone|Milestone
Amenity/Waste_Transfer_Station|Waste Transfer Station
Shop/Tobacco|Tobacco Shop
